gid;nimi;koodi
1;Keskustatoimintojen alakeskus;ca
2;Lähipalvelujen alue;pl
3;Suojelu-/muinaismuistokohde;
4;Virkistys-/matkailukohde;
5;Linja-autoasema/julkisen liikenteen vaihtopaikka/matkakeskus;
6;Rautatieasema;
7;Venesatama/venevalkama;
8;Uimaranta;
9;Kohde, nykyinen;
10;Kohde, uusi;
12;Kunnan nimi;
13;Kunnan osan nimi;
14;Alakeskuksen/kyläkeskuksen nimi;
15;Ympäristö- tai maisemavaurion korjaustarve;
16;Terveyshaitan poistamistarve;
